,distance,sending_weekday,delivery_type,post_office_type,sending_hour_category,vehicle_travel_time,sending_hour,delivery_time_hours
281,74.9,4,Economy registered letter,UP,0,0.9344262295081968,12,97.08333333333333
282,77.2,4,Economy registered letter,UP,0,0.9836065573770492,12,100.2
283,72.7,4,Economy registered letter,UP,0,1.180327868852459,12,71.5
284,152.0,4,Economy registered letter,UP,0,1.8524590163934427,12,96.48333333333333
285,261.0,4,Economy registered letter,UP,0,3.0491803278688523,12,144.5
286,293.0,4,Economy registered letter,UP,0,3.6721311475409837,12,97.06666666666666
287,278.0,4,Economy registered letter,UP,0,2.721311475409836,12,93.46666666666667
288,346.0,4,Priority registered letter,UP,0,3.442622950819672,12,70.06666666666666
289,42.2,4,Economy registered letter,UP,0,0.5409836065573771,12,68.46666666666667
290,334.0,4,Economy registered letter,UP,0,3.1639344262295084,12,70.1
291,116.0,4,Economy registered letter,UP,0,1.8852459016393444,12,96.75
292,321.0,4,Economy registered letter,UP,0,4.213114754098361,12,69.55
293,360.0,4,Economy registered letter,UP,0,3.3934426229508197,12,72.68333333333334
294,255.0,4,Economy registered letter,UP,0,3.0327868852459017,12,146.88333333333333
295,261.0,4,Economy registered letter,UP,0,2.5901639344262297,12,237.91666666666666
296,195.0,4,Economy registered letter,UP,0,2.5245901639344264,12,127.31666666666666
297,328.0,4,Economy registered letter,UP,0,3.7049180327868854,12,120.51666666666667
298,55.9,4,Economy registered letter,UP,0,0.7540983606557377,12,71.93333333333334
299,44.0,4,Economy registered letter,UP,0,0.7213114754098361,12,70.43333333333334
300,20.6,4,Economy registered letter,UP,0,0.32786885245901637,12,70.13333333333334
301,20.6,4,Economy registered letter,UP,0,0.32786885245901637,12,70.13333333333334
302,23.4,4,Economy registered letter,UP,0,0.4098360655737705,12,93.2
303,23.4,4,Economy registered letter,UP,0,0.4098360655737705,12,93.83333333333333
304,23.4,4,Economy registered letter,UP,0,0.4098360655737705,12,100.03333333333333
305,162.0,4,Economy registered letter,UP,0,2.262295081967213,12,70.88333333333334
306,20.6,4,Priority registered letter,UP,0,0.32786885245901637,12,68.66666666666667
307,20.6,4,Priority registered letter,UP,0,0.32786885245901637,12,69.51666666666667
308,39.5,4,Priority registered letter,UP,0,0.7049180327868853,12,66.81666666666666
309,90.0,4,Priority registered letter,UP,0,1.098360655737705,12,65.85
310,101.0,4,Priority registered letter,UP,0,1.1147540983606556,12,69.81666666666666
311,396.0,4,Priority registered letter,UP,0,4.147540983606557,13,66.78333333333333
312,230.0,4,Economy registered letter,UP,0,3.1639344262295084,13,117.75
313,20.6,4,Economy registered letter,UP,0,0.32786885245901637,14,70.48333333333333
314,196.0,4,Economy registered letter,UP,0,2.80327868852459,14,116.8
315,93.3,4,Priority registered letter,UP,0,1.098360655737705,14,70.58333333333333
316,134.0,4,Priority registered letter,UP,0,2.1147540983606556,14,73.56666666666666
317,268.0,4,Priority registered letter,UP,0,3.377049180327869,14,70.76666666666667
318,250.0,4,Priority registered letter,UP,0,2.540983606557377,14,68.21666666666667
319,230.0,4,Priority registered letter,UP,0,2.278688524590164,14,69.83333333333333
320,258.0,4,Priority registered letter,UP,0,3.0,14,99.11666666666666
